"test_name","status","execution_time","duration_ms","error_message"
"openStackOverflow","FAIL","2025-09-08T23:04:21.4661711","180034","org.openqa.selenium.TimeoutException: java.util.concurrent.TimeoutException
Build info: version: '4.23.0', revision: '4df0a231af'
System info: os.name: 'Windows 11', os.arch: 'amd64', os.version: '10.0', java.version: '24.0.2'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Command: [04622577c1b81de25e1de169ff17f528, get {url=https://stackoverflow.com}]
Capabilities {acceptInsecureCerts: false, browserName: chrome, browserVersion: 139.0.7258.155, chrome: {chromedriverVersion: 139.0.7258.154 (9e0d6b2b47f..., userDataDir: C:\Users\vsbar\AppData\Loca...}, fedcm:accounts: true, goog:chromeOptions: {debuggerAddress: localhost:62604}, networkConnectionEnabled: false, pageLoadStrategy: normal, platformName: windows, proxy: Proxy(), se:cdp: ws://localhost:62604/devtoo..., se:cdpVersion: 139.0.7258.155, setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify, webauthn:extension:credBlob: true, webauthn:extension:largeBlob: true, webauthn:extension:minPinLength: true, webauthn:extension:prf: true, webauthn:virtualAuthenticators: true}
Session ID: 04622577c1b81de25e1de169ff17f528"
"getTodos_status200","PASS","2025-09-09T20:00:42.0496898","2765",""
"getAlbums_status200","PASS","2025-09-09T20:00:42.0496898","2763",""
"getPosts_status200","PASS","2025-09-09T20:00:42.0597631","2763",""
"getUsers_status200","PASS","2025-09-09T20:00:42.0708241","2764",""
"createPost_returns201","PASS","2025-09-09T20:00:42.3506527","3109",""
"getComments_post1","PASS","2025-09-09T20:00:42.4097888","3172",""
"invalidEndpoint_404","PASS","2025-09-09T20:00:42.5997211","3357",""
"getUserById_1","PASS","2025-09-09T20:00:44.8598329","4720",""
"getPostById_1","PASS","2025-09-09T20:00:44.8648672","4720",""
"checkPostTitleNotEmpty","PASS","2025-09-09T20:00:44.8638587","5089",""
"openBing","PASS","2025-09-09T20:00:53.7692442","7184",""
"openWikipedia","PASS","2025-09-09T20:00:54.3283922","7494",""
"navigateToAboutMozilla","PASS","2025-09-09T20:00:54.6383202","7730",""
"openExampleDotCom","PASS","2025-09-09T20:00:59.5282911","12989",""
"openGithub_home","PASS","2025-09-09T20:01:00.7968694","14216",""
"openGoogle_checkTitle","PASS","2025-09-09T20:01:00.9122022","14163",""
"openJsonPlaceholderHome","PASS","2025-09-09T20:01:01.3438744","14619",""
"openDomainDotCom","PASS","2025-09-09T20:01:03.7125605","16982",""
"openStackOverflow","FAIL","2025-09-09T20:01:07.7496419","21092","java.lang.AssertionError: expected [true] but found [false]"
"openYahoo","PASS","2025-09-09T20:02:52.1014795","124903",""
"getTodos_status200","PASS","2025-09-10T20:10:17.9384372","2672",""
"getAlbums_status200","PASS","2025-09-10T20:10:17.9409556","2675",""
"getUsers_status200","PASS","2025-09-10T20:10:17.9409556","2676",""
"getPosts_status200","PASS","2025-09-10T20:10:17.9614561","2676",""
"createPost_returns201","PASS","2025-09-10T20:10:18.2531834","3034",""
"getComments_post1","PASS","2025-09-10T20:10:18.4026278","3180",""
"invalidEndpoint_404","PASS","2025-09-10T20:10:18.5625594","3344",""
"getPostById_1","PASS","2025-09-10T20:10:19.3762573","4164",""
"getUserById_1","PASS","2025-09-10T20:10:19.3782678","4163",""
"checkPostTitleNotEmpty","PASS","2025-09-10T20:10:19.3852941","4170",""
"openExampleDotCom","PASS","2025-09-10T20:10:26.5709732","1574",""
"openGoogle_checkTitle","PASS","2025-09-10T20:10:30.4310715","5409",""
"openBing","PASS","2025-09-10T20:10:30.9610334","5954",""
"openJsonPlaceholderHome","PASS","2025-09-10T20:10:31.5279538","6525",""
"openWikipedia","PASS","2025-09-10T20:10:32.4549049","7435",""
"navigateToAboutMozilla","PASS","2025-09-10T20:10:35.2090429","10228",""
"openDomainDotCom","PASS","2025-09-10T20:10:43.1000784","18063",""
"openStackOverflow","FAIL","2025-09-10T20:11:20.2008685","55158","java.lang.AssertionError: expected [true] but found [false]"
"openGithub_home","PASS","2025-09-10T20:11:28.0791913","63102",""
